accession,old_species,new_species,comments
ERR110081,Acinetobacter baumannii,NA,NA
ERR110082,Acinetobacter baumannii,NA,NA
ERR110086,Acinetobacter baumannii,NA,NA
ERR110102,Acinetobacter baumannii,NA,NA
ERR119659,Acinetobacter baumannii,NA,NA
ERR119660,Acinetobacter baumannii,NA,NA
ERR119668,Acinetobacter baumannii,NA,NA
ERR119679,Acinetobacter baumannii,NA,NA
SRR067595,Acinetobacter baumannii,NA,NA
SRR067597,Acinetobacter baumannii,NA,NA
SRR067599,Acinetobacter baumannii,NA,NA
SRR073130,Acinetobacter baumannii,NA,NA
SRR073131,Acinetobacter baumannii,NA,NA
SRR1180875,Acinetobacter baumannii,NA,NA
SRR1180930,Acinetobacter baumannii,NA,NA
SRR1187769,Acinetobacter baumannii,NA,NA
SRR1187804,Acinetobacter baumannii,NA,NA
SRR1819769,Acinetobacter baumannii,NA,NA
SRR1819771,Acinetobacter baumannii,NA,NA
SRR1819785,Acinetobacter baumannii,NA,NA
SRR1819792,Acinetobacter baumannii,NA,NA
SRR1819800,Acinetobacter baumannii,NA,NA
SRR1945422,Acinetobacter baumannii,NA,NA
SRR1945425,Acinetobacter baumannii,NA,NA
SRR1945426,Acinetobacter baumannii,NA,NA
SRR1945427,Acinetobacter baumannii,NA,NA
SRR1945428,Acinetobacter baumannii,NA,NA
SRR1945430,Acinetobacter baumannii,NA,NA
SRR1946597,Acinetobacter baumannii,NA,NA
SRR1997868,Acinetobacter baumannii,NA,NA
SRR2075860,Acinetobacter baumannii,NA,NA
SRR2075876,Acinetobacter baumannii,NA,NA
SRR2075877,Acinetobacter baumannii,NA,NA
SRR2075878,Acinetobacter baumannii,NA,NA
SRR2075879,Acinetobacter baumannii,NA,NA
SRR2075880,Acinetobacter baumannii,NA,NA
SRR2075881,Acinetobacter baumannii,NA,NA
SRR2075882,Acinetobacter baumannii,NA,NA
SRR2075883,Acinetobacter baumannii,NA,NA
SRR2075884,Acinetobacter baumannii,NA,NA
SRR2075885,Acinetobacter baumannii,NA,NA
SRR2075887,Acinetobacter baumannii,NA,NA
SRR2075890,Acinetobacter baumannii,NA,NA
SRR2075891,Acinetobacter baumannii,NA,NA
SRR2075893,Acinetobacter baumannii,NA,NA
SRR2075895,Acinetobacter baumannii,NA,NA
SRR2075896,Acinetobacter baumannii,NA,NA
SRR2075897,Acinetobacter baumannii,NA,NA
SRR2075898,Acinetobacter baumannii,NA,NA
SRR2075899,Acinetobacter baumannii,NA,NA
SRR2075900,Acinetobacter baumannii,NA,NA
SRR2075902,Acinetobacter baumannii,NA,NA
SRR2075903,Acinetobacter baumannii,NA,NA
SRR2075906,Acinetobacter baumannii,NA,NA
SRR2075907,Acinetobacter baumannii,NA,NA
SRR2075948,Acinetobacter baumannii,NA,NA
SRR2075950,Acinetobacter baumannii,NA,NA
SRR2075951,Acinetobacter baumannii,NA,NA
SRR2911724,Acinetobacter baumannii,NA,NA
SRR2911726,Acinetobacter baumannii,NA,NA
SRR2911739,Acinetobacter baumannii,NA,NA
SRR2911742,Acinetobacter baumannii,NA,NA
SRR2916633,Acinetobacter baumannii,NA,NA
SRR2916634,Acinetobacter baumannii,NA,NA
SRR2916635,Acinetobacter baumannii,NA,NA
SRR2916656,Acinetobacter baumannii,NA,NA
SRR2916657,Acinetobacter baumannii,NA,NA
SRR2916658,Acinetobacter baumannii,NA,NA
SRR2954965,Acinetobacter baumannii,NA,NA
SRR2976831,Acinetobacter baumannii,NA,NA
SRR3057118,Acinetobacter baumannii,NA,NA
SRR3112206,Acinetobacter baumannii,NA,NA
SRR3112302,Acinetobacter baumannii,NA,NA
SRR3112304,Acinetobacter baumannii,NA,NA
SRR3112305,Acinetobacter baumannii,NA,NA
SRR3112306,Acinetobacter baumannii,NA,NA
SRR3112313,Acinetobacter baumannii,NA,NA
SRR3130307,Acinetobacter baumannii,NA,NA
SRR3130308,Acinetobacter baumannii,NA,NA
SRR3130309,Acinetobacter baumannii,NA,NA
SRR3130311,Acinetobacter baumannii,NA,NA
SRR3131127,Acinetobacter baumannii,NA,NA
SRR3131130,Acinetobacter baumannii,NA,NA
SRR3131131,Acinetobacter baumannii,NA,NA
SRR3131145,Acinetobacter baumannii,NA,NA
SRR3131146,Acinetobacter baumannii,NA,NA
SRR3131148,Acinetobacter baumannii,NA,NA
SRR3131149,Acinetobacter baumannii,NA,NA
SRR3131150,Acinetobacter baumannii,NA,NA
SRR3131151,Acinetobacter baumannii,NA,NA
