sort_order,md5,label,name,filename,signature_file
1,aa538048808f6b0034e4bd59136ed35f,assemblies/SRR2075898.fna,,assemblies/SRR2075898.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR2075898.sig
2,84ea0e8191e33477d2a956495f298e3a,assemblies/SRR3131155.fna,,assemblies/SRR3131155.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3131155.sig
3,8a7ac33e88fe59a76605ffe6a6fac80a,assemblies/SRR3223552.fna,,assemblies/SRR3223552.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3223552.sig
4,93a873dd3ce810352e5f8772fbd161cb,assemblies/SRR3131209.fna,,assemblies/SRR3131209.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3131209.sig
5,a03ff9282674b3d432491a2667015049,assemblies/GCA_016540055.2.fna,,assemblies/GCA_016540055.2.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_016540055.2.sig
6,efa992989af453b5e4a86403cacf3857,assemblies/GCA_016520485.2.fna,,assemblies/GCA_016520485.2.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_016520485.2.sig
7,e4ce5d41316771fa15840cd3efdbde27,assemblies/SRR1945430.fna,,assemblies/SRR1945430.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1945430.sig
8,b73f5d2f688ba775f01f1f42ccc659af,assemblies/SRR3226988.fna,,assemblies/SRR3226988.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3226988.sig
9,964763d65ed8565931ec44aa9c5facf8,assemblies/SRR3218383.fna,,assemblies/SRR3218383.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3218383.sig
10,45ed0d54ef3bf4ea0678a9b6859bbe7e,assemblies/GCF_006492245.1.fna,,assemblies/GCF_006492245.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_006492245.1.sig
11,0e05c30ff0ff20db309fc088e359ee34,assemblies/GCF_006492775.1.fna,,assemblies/GCF_006492775.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_006492775.1.sig
12,4db9e4d86493e7a459d9d42725a6730a,assemblies/SRR3228535.fna,,assemblies/SRR3228535.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3228535.sig
13,6cc5b786ad9839a0cac1946f2274c6b5,assemblies/GCF_006493755.1.fna,,assemblies/GCF_006493755.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_006493755.1.sig
