sort_order,md5,label,name,filename,signature_file
1,678d121c20c99c4fadc09b86a1effd7f,assemblies/GCA_031509865.1.fna,,assemblies/GCA_031509865.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_031509865.1.sig
2,27595d44290110247e3f5751d9bf374e,assemblies/GCA_023884155.1.fna,,assemblies/GCA_023884155.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023884155.1.sig
3,6901a89d0845157604e074779a916030,assemblies/GCF_022758385.1.fna,,assemblies/GCF_022758385.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_022758385.1.sig
4,c47388a6785aa08c9ed19a53a6ebbad1,assemblies/GCF_025828355.1.fna,,assemblies/GCF_025828355.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025828355.1.sig
5,7293aaead16f0b593567c0ea89ea124e,assemblies/SRR8449564.fna,,assemblies/SRR8449564.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8449564.sig
6,65be52b58546b4119f6adf3fde9ba1fc,assemblies/ERR2935537.fna,,assemblies/ERR2935537.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935537.sig
7,1e4856490cf12ee9d73a96ee54758015,assemblies/ERR4013450.fna,,assemblies/ERR4013450.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR4013450.sig
8,d0fdc72fc77de41d284cc5ac460353e1,assemblies/SRR5120231.fna,,assemblies/SRR5120231.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR5120231.sig
9,c82e69ad6e334407db977969146be79d,assemblies/GCA_044702235.1.fna,,assemblies/GCA_044702235.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_044702235.1.sig
10,3c1d728e7923bce33165301e67af7de1,assemblies/GCA_030878065.1.fna,,assemblies/GCA_030878065.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_030878065.1.sig
11,790b558fdecc268e73ee756f8c4e036c,assemblies/GCA_003204155.1.fna,,assemblies/GCA_003204155.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_003204155.1.sig
12,e077d46833616324e98d4665e3ebb3b8,assemblies/ERR2209630.fna,,assemblies/ERR2209630.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2209630.sig
13,206a13756ec46c5cb2070bb17986b8a0,assemblies/GCA_003774785.1.fna,,assemblies/GCA_003774785.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_003774785.1.sig
14,8012edb87de8b25b3277a868f6b0a0a0,assemblies/ERR2935611.fna,,assemblies/ERR2935611.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935611.sig
15,c11a30995b1e2d07a967565d16846fd1,assemblies/ERR2935702.fna,,assemblies/ERR2935702.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935702.sig
16,147cb65cacadf2678027e8d46440c44e,assemblies/GCF_025828275.1.fna,,assemblies/GCF_025828275.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025828275.1.sig
17,fd0dafe58c1af943326b0c135a88e6f2,assemblies/GCA_012479735.1.fna,,assemblies/GCA_012479735.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_012479735.1.sig
18,ffebd22d7a8763955d126d862e364a4b,assemblies/GCA_023882185.1.fna,,assemblies/GCA_023882185.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023882185.1.sig
19,1e014474a7af7738b71f8c6b926600bf,assemblies/GCA_030796605.1.fna,,assemblies/GCA_030796605.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_030796605.1.sig
20,fc576f715ece5cba687d891e0e4aff09,assemblies/SRR4245475.fna,,assemblies/SRR4245475.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR4245475.sig
21,cd8541b8e5846aafcea57a1ecfbd93bd,assemblies/GCF_025828335.1.fna,,assemblies/GCF_025828335.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025828335.1.sig
22,23d7af7f788fc8a06cdb6e7bc1314ccb,assemblies/GCA_031511485.1.fna,,assemblies/GCA_031511485.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_031511485.1.sig
23,5c31774b1ccc8364e5572f49e1c60548,assemblies/GCA_031510085.1.fna,,assemblies/GCA_031510085.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_031510085.1.sig
24,da1b80612059bf8d0028809baffef1e5,assemblies/ERR2935422.fna,,assemblies/ERR2935422.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935422.sig
25,b929d865e95b91a1e9366f572e0bb57d,assemblies/ERR2935410.fna,,assemblies/ERR2935410.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935410.sig
26,cb8b7563622a86b7b5c550f54bf84c71,assemblies/SRR3345825.fna,,assemblies/SRR3345825.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3345825.sig
27,78a86a2d1ceb82a92046fb095bad9157,assemblies/GCA_023883565.1.fna,,assemblies/GCA_023883565.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023883565.1.sig
28,906cf05037a1be22591d2c7302fe6146,assemblies/GCA_044699925.1.fna,,assemblies/GCA_044699925.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_044699925.1.sig
29,f68e48770c823a1383169740e61fcc8b,assemblies/GCA_032123055.2.fna,,assemblies/GCA_032123055.2.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_032123055.2.sig
30,7943b06bee90bc6a662c058036952738,assemblies/DRR148167.fna,,assemblies/DRR148167.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/DRR148167.sig
31,9ecdeff67403be71329717b40606f14f,assemblies/SRR2976834.fna,,assemblies/SRR2976834.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR2976834.sig
32,bae72fd7af36308efe56fd6e6e6fc4eb,assemblies/GCF_025829915.1.fna,,assemblies/GCF_025829915.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025829915.1.sig
33,1bae631de98bfb31ceeb90fade698965,assemblies/GCA_023862925.1.fna,,assemblies/GCA_023862925.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023862925.1.sig
34,6fce4b4143f1724c13a4183c74b96447,assemblies/ERR4013452.fna,,assemblies/ERR4013452.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR4013452.sig
35,f14362477cfb6d32aee6d649a88a9675,assemblies/GCA_012602275.1.fna,,assemblies/GCA_012602275.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_012602275.1.sig
36,77bdd6c737c4943686593422dda6de57,assemblies/ERR2935769.fna,,assemblies/ERR2935769.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935769.sig
37,43221521d7a0ad513376860237658331,assemblies/SRR2927304.fna,,assemblies/SRR2927304.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR2927304.sig
38,306bd57c1d375bbfa84bc617492e0394,assemblies/ERR2044053.fna,,assemblies/ERR2044053.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2044053.sig
39,52ab958396324e6b5fe3dc342e2d8ee8,assemblies/ERR4013429.fna,,assemblies/ERR4013429.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR4013429.sig
40,5911db672cdc586b63b1c0074978ad35,assemblies/GCF_015672335.1.fna,,assemblies/GCF_015672335.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_015672335.1.sig
41,e6ac1bdf679bf5438951a2b1d6d5a62a,assemblies/DRR148194.fna,,assemblies/DRR148194.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/DRR148194.sig
42,38f6b621279e0fd57d7012a6a9e71467,assemblies/GCA_032337935.2.fna,,assemblies/GCA_032337935.2.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_032337935.2.sig
43,7efa78f77ade3432e857abdd2f02c2b4,assemblies/SRR6994978.fna,,assemblies/SRR6994978.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR6994978.sig
44,d56f15d8a1352a8f72a70a68a71655e6,assemblies/GCF_025830975.1.fna,,assemblies/GCF_025830975.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025830975.1.sig
45,f6be5a1fec37136b889a2236d32c1387,assemblies/SRR2239601.fna,,assemblies/SRR2239601.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR2239601.sig
46,88f6cb4fb66dda8e0b7da975f22b586d,assemblies/SRR3982153.fna,,assemblies/SRR3982153.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3982153.sig
47,76423321b4442ef45f82819c826bd917,assemblies/ERR2935388.fna,,assemblies/ERR2935388.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935388.sig
48,e6a71de05eebb59ef4d4e0d134cba6f7,assemblies/ERR2935525.fna,,assemblies/ERR2935525.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935525.sig
49,4d412d86fe00363af34ac2a5096677e7,assemblies/GCA_032336615.2.fna,,assemblies/GCA_032336615.2.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_032336615.2.sig
50,c5ddfef709c9649b2f6ec039c9f7ad80,assemblies/GCA_031510785.1.fna,,assemblies/GCA_031510785.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_031510785.1.sig
51,a85545dfe576eb391e0062cda347e65e,assemblies/GCA_023867935.1.fna,,assemblies/GCA_023867935.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023867935.1.sig
52,483a345e5311d68a1b50ed8fa59c525e,assemblies/GCA_023880385.1.fna,,assemblies/GCA_023880385.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023880385.1.sig
53,f7c2f84df1ee2fef1a66f009874dc79f,assemblies/GCA_031511145.1.fna,,assemblies/GCA_031511145.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_031511145.1.sig
54,318a985f6b8108ccd47d870c96ad120a,assemblies/ERR2935462.fna,,assemblies/ERR2935462.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935462.sig
55,95295ae353be8a238a3bdf6564685910,assemblies/GCA_012608655.1.fna,,assemblies/GCA_012608655.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_012608655.1.sig
56,51572b4c7b3dfd98135ccdb5662cd6ef,assemblies/GCF_015671795.1.fna,,assemblies/GCF_015671795.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_015671795.1.sig
57,b3b641399dc47c6f5d64b3a168c16995,assemblies/ERR2935376.fna,,assemblies/ERR2935376.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935376.sig
58,b49ad62389e8199903bae8be71e9dd1b,assemblies/GCA_012603915.1.fna,,assemblies/GCA_012603915.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_012603915.1.sig
59,6fa17083d907d4c5edc44d204fca45b2,assemblies/ERR2935570.fna,,assemblies/ERR2935570.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935570.sig
60,6624d37d7119c70c305452e7b2f37454,assemblies/SRR3982317.fna,,assemblies/SRR3982317.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3982317.sig
61,f2b247809299c740de58d91e0599d408,assemblies/GCF_025831775.1.fna,,assemblies/GCF_025831775.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_025831775.1.sig
62,0fe21ab21abc89d960e4031bfb147716,assemblies/ERR3449883.fna,,assemblies/ERR3449883.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR3449883.sig
63,bf3a4205f7f3d0c81c338bd4c3e121ff,assemblies/SRR3112258.fna,,assemblies/SRR3112258.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3112258.sig
64,1019f31b24a5f15a49dc0fd4d62a24d0,assemblies/GCA_044148825.1.fna,,assemblies/GCA_044148825.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_044148825.1.sig
65,a7c93eb5e474e6e1638ef3573b6f197a,assemblies/ERR2935664.fna,,assemblies/ERR2935664.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935664.sig
66,141e5e6581d33b1b4dcb9f88e1666a8e,assemblies/SRR3112315.fna,,assemblies/SRR3112315.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3112315.sig
67,b6d97ae5e0807d5b6d3cd9a662287966,assemblies/GCA_023859705.1.fna,,assemblies/GCA_023859705.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_023859705.1.sig
68,f4fe63320ffe1fcb404e6f4feec1319e,assemblies/ERR2935714.fna,,assemblies/ERR2935714.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935714.sig
69,91233e71846d9f0ff73f3b8d596bcb33,assemblies/GCA_030800945.1.fna,,assemblies/GCA_030800945.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_030800945.1.sig
70,a503a535e7a5d988c3176a841ce823ec,assemblies/ERR2935748.fna,,assemblies/ERR2935748.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935748.sig
71,97eca46a2aac650e446d9d9c8cf25021,assemblies/SRR3932425.fna,,assemblies/SRR3932425.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3932425.sig
72,07bdee46f6dc8cd2f2bcf02a4e26542e,assemblies/DRR148180.fna,,assemblies/DRR148180.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/DRR148180.sig
73,08b8abc8c2a50c899fd3d005aff27867,assemblies/SRR2239648.fna,,assemblies/SRR2239648.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR2239648.sig
74,49644b8e79880c9f6afd427637021f2a,assemblies/GCA_044687855.1.fna,,assemblies/GCA_044687855.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_044687855.1.sig
75,3617782a2c81afaa90e6433412a916cc,assemblies/GCA_044091895.1.fna,,assemblies/GCA_044091895.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_044091895.1.sig
76,593be7a6eb296f7a15fa404f57f7b536,assemblies/ERR2935712.fna,,assemblies/ERR2935712.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935712.sig
77,461f767a7af1ceaa76af0e3a85d06d28,assemblies/GCA_030800985.1.fna,,assemblies/GCA_030800985.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_030800985.1.sig
78,f02a74c7cbe77b0f99edc9eb81953516,assemblies/ERR2935348.fna,,assemblies/ERR2935348.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR2935348.sig
