genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Neisseria,gonorrhoeae,ERR223630,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223690,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222899,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191801,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191779,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222899,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223696,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223630,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223690,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191779,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223668,Susceptible,TET,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223660,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223660,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191809,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223625,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222915,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222895,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191734,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223664,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223695,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223692,Resistant,TET,,64.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191763,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222915,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223616,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223695,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223636,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191823,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191809,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223664,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191776,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191804,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191760,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223676,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223696,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191763,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223676,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191776,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191760,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191823,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191801,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223686,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223636,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191804,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222895,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223649,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191756,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191756,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223625,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR191734,Resistant,TET,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223686,Resistant,TET,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223692,Resistant,TET,,64.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223649,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222902,Resistant,TET,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222897,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222902,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223616,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223642,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR222897,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223668,Intermediate,TET,,0.5,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Neisseria,gonorrhoeae,ERR223642,Intermediate,TET,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,
Staphylococcus,aureus,ERR029367,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418364,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030246,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR053018,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030214,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR030252,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418365,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR053018,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418771,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030277,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029456,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029468,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418976,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419060,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR418755,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR419214,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030258,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418425,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR030171,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR418365,Resistant,ERY,,,,,,CLSI,2013,26686880,,,
Staphylococcus,aureus,ERR029456,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
Staphylococcus,aureus,ERR029341,Resistant,ERY,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,
